,order_id,score,error
1547,236832828771803136,825.19,
957,236864006979604480,817.55,
767,236869939780653056,794.56,
1516,236556975219421184,793.6,
994,236773996586602496,792.96,
1370,236792833994407936,784.73,
1428,236457327871930368,781.34,
539,236459361656385536,780.31,
1098,236845901519790080,779.95,
417,236424127510482944,779.12,
593,236909775614914560,778.04,
267,236817478042791936,777.17,
590,236758124648222720,777.16,
1224,236433993121685504,776.86,
572,236469931780620288,776.51,
1458,236925182073659392,776.25,
272,236431722627469312,774.92,
516,236798402859913216,773.2,
1448,236419645338828800,772.19,
796,236795084494344192,771.07,
881,236601517658349568,769.14,
1353,236942438191075328,769.13,
1075,236444641847169024,767.39,
337,236916317185642496,764.82,
911,236796086907838464,764.05,
204,236831753666834432,763.66,
167,236923490666024960,763.28,
868,236465483083681792,762.82,
1088,236601048022134784,762.02,
866,236771522026934272,761.98,
519,236876146226507776,761.77,
813,236980513759842304,761.47,
995,236934696894218240,761.17,
912,236452721603383296,760.9,
1137,236811611272646656,759.2,
208,236879657970438144,758.28,
268,236420383318220800,757.55,
790,236479270188748800,757.42,
1063,236889690162618368,757.29,
647,236480994727170048,757.24,
1597,236848784864718848,756.32,
6,236499821561135104,756.16,
779,236413591922155520,755.7,
755,236774709626691584,755.48,
672,236629252673900544,755.21,
191,236786088983150592,754.61,
107,236790122515288064,754.33,
27,236854055800414208,754.25,
1154,236413216263507968,754.19,
898,236436303973462016,754.01,
473,236883702642647040,753.89,
1694,236516021229854720,753.84,
1522,236808010307493888,753.8,
318,236472166656774144,753.66,
91,236444172479377408,753.54,
396,236788217403686912,753.42,
594,236416055572434944,753.23,
914,236592658256510976,752.95,
1136,236856465931386880,752.52,
683,236872141677023232,752.33,
824,236682644398039040,752.09,
1133,236865222597939200,752.02,
212,236952657143025664,751.86,
596,236837638858362880,751.81,
1043,236281088095817728,751.11,
1429,236415855432839168,750.91,
660,236797285300187136,750.37,
223,236841612764274688,750.1,
282,236842370154909696,749.46,
397,236790886155423744,749.2,
932,236788401382633472,749.16,
1219,236479149279567872,748.6,
262,236782277841412096,748.52,
1002,236469775702179840,748.39,
1121,236962495931629568,748.36,
127,236776205596499968,748.35,
293,236820593257226240,748.15,
41,236998813994725376,747.13,
52,236999691585740800,746.85,
1382,236768922942590976,746.32,
1194,236862297888796672,746.17,
1719,236796363245367296,745.84,
1286,236436479437987840,745.29,
675,236490559992635392,745.23,
1169,236771977599668224,744.42,
1699,236681448002170880,744.15,
55,236648541527232512,744.08,
1497,236443825295859712,744.06,
75,236804903339040768,743.85,
298,236916476804083712,743.81,
1661,236861338399809536,743.73,
742,236827300788199424,743.25,
1339,236849140952739840,743.17,
287,236924151130501120,743.15,
1674,236980893688279040,743.04,
1147,236400038922174464,743.01,
705,236777823465398272,742.97,
1474,236843737078566912,742.67,
1014,236896679672426496,742.63,
1427,236872605864833024,742.25,
536,236879040875089920,741.69,
1345,236813058987012096,741.55,
182,236845676210180096,741.17,
1413,236957551031758848,740.88,
207,236559555211317248,740.75,
310,236887719116546048,740.54,
1183,236477151662596096,739.91,
1290,236554837990846464,739.71,
54,236784286422278144,739.53,
1315,236935261548191744,739.46,
353,236565580500975616,739.41,
447,236512997317025792,739.38,
148,236550579518185472,739.15,
1697,236536866341933056,739.15,
625,236885947513835520,738.97,
562,236861462106615808,738.89,
488,236588182556659712,738.79,
1609,236948918189432832,738.78,
745,236465553833205760,738.74,
1659,236517200299040768,738.46,
709,236885038603976704,738.37,
1321,236814114814976000,738.02,
